x1,x2,x3,y1,y2,y3,y4,y5,y6,y7,y8,y9,,,,,,,,,,,,,,
0.363557425,1.329389989,3.8,0.123383383,1.569564031,0.109635269,0.890364731,1.74E-20,0.15297028,4.93E-05,0.846980412,0.468856853,,,,,,,,,,,,,,
0.363557425,1.329389989,3.9,0.123381236,1.569566178,0.109606464,0.890393536,1.74E-20,0.152972485,4.83E-05,0.846979253,0.481186819,,,,,,,,,,,,,,
0.363557425,1.329389989,4,0.123379317,1.569568094,0.109580716,0.890419284,1.75E-20,0.152974456,4.73E-05,0.846978218,0.493517267,,,,,,,,,,,,,,
0.363557425,1.329389989,4.1,0.123377609,1.569569803,0.109557797,0.890442203,1.75E-20,0.152976211,4.65E-05,0.846977296,0.505848194,,,,,,,,,,,,,,
0.363557425,1.329389989,4.2,0.123376097,1.569571317,0.109537507,0.890462493,1.74E-20,0.152977764,4.58E-05,0.84697648,0.518179606,,,,,,,,,,,,,,
0.363557425,1.329389989,4.3,0.123374767,1.569572644,0.109519665,0.890480335,1.77E-20,0.152979129,4.51E-05,0.846975763,0.530511497,,,,,,,,,,,,,,
0.363557425,1.345802211,2.6,0.123429989,1.585929644,0.11026036,0.88973964,1.65E-20,0.151339869,7.13E-05,0.848588848,0.320917972,,,,,,,,,,,,,,
0.363557425,1.345802211,2.7,0.123422936,1.5859367,0.110165786,0.889834214,1.68E-20,0.151347046,6.79E-05,0.848585074,0.333241928,,,,,,,,,,,,,,
0.363557425,1.345802211,2.8,0.123416561,1.585943072,0.110080309,0.889919691,1.69E-20,0.151353533,6.48E-05,0.848581663,0.345566372,,,,,,,,,,,,,,
0.363557425,1.345802211,2.9,0.123410796,1.585948839,0.110002999,0.889997001,1.68E-20,0.151359398,6.20E-05,0.848578578,0.357891308,,,,,,,,,,,,,,
0.363557425,1.345802211,3,0.123405579,1.585954056,0.109933024,0.890066976,1.70E-20,0.151364707,5.95E-05,0.848575787,0.370216736,,,,,,,,,,,,,,
0.363557425,1.345802211,3.1,0.123400854,1.585958781,0.109869655,0.890130345,1.71E-20,0.151369514,5.72E-05,0.848573259,0.382542647,,,,,,,,,,,,,,
0.363557425,1.345802211,3.2,0.123396575,1.585963058,0.109812252,0.890187748,1.71E-20,0.151373869,5.52E-05,0.848570969,0.394869039,,,,,,,,,,,,,,
0.363557425,1.345802211,3.3,0.123392698,1.585966936,0.109760249,0.890239751,1.72E-20,0.151377813,5.33E-05,0.848568895,0.407195906,,,,,,,,,,,,,,
0.363557425,1.345802211,3.4,0.123389188,1.585970447,0.109713149,0.890286851,1.73E-20,0.151381385,5.16E-05,0.848567016,0.419523236,,,,,,,,,,,,,,
0.363557425,1.345802211,3.5,0.123386009,1.585973625,0.109670514,0.890329486,1.71E-20,0.151384619,5.01E-05,0.848565316,0.431851033,,,,,,,,,,,,,,
0.363557425,1.345802211,3.6,0.123383135,1.5859765,0.109631953,0.890368047,1.70E-20,0.151387543,4.87E-05,0.848563778,0.444179286,,,,,,,,,,,,,,
0.363557425,1.345802211,3.7,0.123380539,1.585979094,0.109597122,0.890402878,1.74E-20,0.151390184,4.74E-05,0.848562389,0.456507997,,,,,,,,,,,,,,
0.363557425,1.345802211,3.8,0.123378199,1.585981436,0.109565716,0.890434284,1.75E-20,0.151392566,4.63E-05,0.848561137,0.468837156,,,,,,,,,,,,,,
0.363557425,1.345802211,3.9,0.123376093,1.585983542,0.109537462,0.890462538,1.75E-20,0.151394708,4.53E-05,0.84856001,0.481166764,,,,,,,,,,,,,,
